,id,score_normalized,reviewed_at,vintage_id
0,3505777,100,2020-03-27T00:00:00Z,14201617
1,3505778,93,2015-01-01T00:00:00Z,14201617
2,3005399,90,2018-06-01T00:00:00Z,150296971
3,3506582,91,2020-05-07T00:00:00Z,150296971
4,3506583,92,2015-01-01T00:00:00Z,150296971
5,1969143,95,2017-06-15T00:00:00Z,164942685
6,3118490,97,2018-08-31T00:00:00Z,164942685
7,3122852,95,2018-08-31T00:00:00Z,164942685
8,3126332,97,2018-08-31T00:00:00Z,164942685
9,1811174,91,2016-12-30T00:00:00Z,14152059
10,3225621,91,2018-10-31T00:00:00Z,14152059
11,3339259,92,2019-02-22T00:00:00Z,14152059
12,3339260,90,2014-01-01T00:00:00Z,14152059
13,3339261,90,2019-02-22T00:00:00Z,14152059
14,3339480,90,2019-03-04T00:00:00Z,14152059
15,3339481,86,2019-03-04T00:00:00Z,14152059
16,1497155,89,2017-08-10T00:00:00Z,4418048
17,3224828,92,2018-10-29T00:00:00Z,87594828
18,3506440,93,2020-05-01T00:00:00Z,87594828
19,3506520,92,2020-05-05T00:00:00Z,87594828
20,3117569,89,2018-08-31T00:00:00Z,17946025
21,1812057,86,2016-10-28T00:00:00Z,14335854
22,1857636,89,2017-10-31T00:00:00Z,14384714
23,3012594,90,2018-04-01T00:00:00Z,14384714
24,1808070,85,2016-12-30T00:00:00Z,85635087
25,1964874,91,2016-09-28T00:00:00Z,85635087
26,2697286,95,2016-11-01T00:00:00Z,85635087
27,2792897,90,2017-10-01T00:00:00Z,85635087
28,3195922,94,2016-11-06T00:00:00Z,85635087
29,3137197,97,2018-09-06T00:00:00Z,85559438
30,3448228,97,2018-09-06T00:00:00Z,85559438
31,3491902,97,2019-06-01T00:00:00Z,85559438
32,3491903,97,2019-06-16T00:00:00Z,85559438
33,3493988,97,2019-05-31T00:00:00Z,85559438
34,3498137,97,2019-08-29T00:00:00Z,85559438
35,3502636,98,2019-09-08T00:00:00Z,85559438
36,3502685,98,2019-09-11T00:00:00Z,85559438
37,3502686,96,2014-01-01T00:00:00Z,85559438
38,3503030,98,2019-03-06T00:00:00Z,85559438
39,3505558,97,2020-03-13T00:00:00Z,85559438
40,3506514,99,2020-05-05T00:00:00Z,85559438
41,3506515,97,2020-05-05T00:00:00Z,85559438
42,3447599,94,2019-03-25T00:00:00Z,2130088
43,3447600,93,2014-01-01T00:00:00Z,2130088
44,3448221,92,2019-04-30T00:00:00Z,2130088
45,219031,94,2014-10-31T00:00:00Z,1282334
46,1487964,92,2014-06-09T00:00:00Z,1282334
47,1868324,94,2017-04-28T00:00:00Z,1282334
48,1954223,94,2014-11-25T00:00:00Z,1282334
49,3013968,93,2015-04-01T00:00:00Z,1282334
50,3313922,91,2019-01-22T00:00:00Z,86150642
51,3313923,90,2014-01-01T00:00:00Z,86150642
52,3316290,90,2019-01-28T00:00:00Z,86150642
53,3498267,91,2019-09-03T00:00:00Z,86150642
54,3502988,75,2019-10-03T00:00:00Z,86150642
55,1522493,94,2017-09-15T00:00:00Z,4033840
56,1784016,89,2015-06-29T00:00:00Z,4033840
57,1867741,93,2017-04-28T00:00:00Z,4033840
58,2552950,87,2017-11-17T00:00:00Z,4033840
59,2990232,95,2018-06-19T00:00:00Z,4033840
60,2990233,94,2018-06-19T00:00:00Z,4033840
61,3012951,94,2018-04-01T00:00:00Z,4033840
62,2528642,99,2017-12-01T00:00:00Z,4203695
63,2671820,94,2018-01-31T00:00:00Z,4203695
64,3028938,96,2018-06-01T00:00:00Z,4203695
65,3506611,92,2020-05-08T00:00:00Z,91011696
66,3503532,92,2019-11-07T00:00:00Z,14317603
67,3504262,95,2019-12-11T00:00:00Z,14317603
68,3494662,93,2019-06-28T00:00:00Z,14513009
69,3496828,94,2019-08-06T00:00:00Z,14513009
70,3496829,92,2014-01-01T00:00:00Z,14513009
71,3496830,93,2019-08-06T00:00:00Z,14513009
72,3496831,90,2014-01-01T00:00:00Z,14513009
73,3505794,95,2020-03-28T00:00:00Z,14513009
74,3519637,93,2020-08-05T00:00:00Z,14513009
75,3519638,91,2020-08-06T00:00:00Z,14513009
76,3137562,91,2018-09-06T00:00:00Z,14242522
77,3305784,90,2018-07-17T00:00:00Z,14242522
78,3503535,94,2019-04-30T00:00:00Z,14242522
79,3495346,95,2019-06-28T00:00:00Z,5620568
80,3503871,96,2019-07-26T00:00:00Z,5620568
81,3507012,95,2020-06-04T00:00:00Z,5620568
82,3507013,96,2020-06-04T00:00:00Z,5620568
83,3507014,93,2015-01-01T00:00:00Z,5620568
84,3507015,95,2015-01-01T00:00:00Z,5620568
85,3507016,97,2015-01-01T00:00:00Z,5620568
86,3507017,94,2015-01-01T00:00:00Z,5620568
87,3507030,93,2020-06-04T00:00:00Z,5620568
88,3507035,95,2020-06-05T00:00:00Z,5620568
89,3507036,93,2015-01-01T00:00:00Z,5620568
90,3507050,95,2020-06-08T00:00:00Z,5620568
91,3507051,94,2020-06-08T00:00:00Z,5620568
92,3507052,97,2020-06-08T00:00:00Z,5620568
93,3507053,94,2020-06-08T00:00:00Z,5620568
94,1522492,90,2017-09-15T00:00:00Z,14763417
95,1866482,88,2017-04-28T00:00:00Z,14763417
96,3231947,3,2018-12-12T00:00:00Z,14211755
97,3231948,93,2018-10-31T00:00:00Z,14211755
98,3231949,87,2018-12-12T00:00:00Z,14211755
99,3231950,92,2018-12-12T00:00:00Z,14211755
100,3231951,93,2018-12-12T00:00:00Z,14211755
101,3305763,91,2018-07-17T00:00:00Z,14211755
102,3314045,90,2019-01-23T00:00:00Z,14211755
