,id,name,wines_count
0,81,Graciano,10215
1,9,Malbec,179553
2,10,Merlot,461197
3,22,Mourvedre,80271
5,16,Sangiovese,103884
7,2,Cabernet Sauvignon,658524
8,19,Tempranillo,142558
9,68,Touriga Franca,26679
11,17,Sauvignon Blanc,234207
13,43,Corvina,18112
18,1,Shiraz/Syrah,445177
20,226,Corvinone,4749
21,7,Gewürztraminer,48397
22,118,Verdejo,13885
26,3,Cabernet Franc,219118
27,42,Petit Verdot,68232
28,169,Tinto Fino,2460
33,36,Pinot Blanc,40675
40,58,Montepulciano,21991
41,75,Cinsault,37608
43,144,Garnacha Tinta,3655
54,51,Carménère,41738
57,5,Chardonnay,487962
71,12,Nebbiolo,46789
72,1381,Prior,84
73,46,Molinara,10038
84,142,Garnacha,47485
89,41,Carignan,46559
95,63,Prugnolo Gentile,557
99,15,Riesling,217074
102,579,Samsó,2165
107,8,Grenache,187673
117,97,Aglianico,12284
123,14,Pinot Noir,462117
143,218,Baco Noir,1163
167,167,Tinta de toro,3164
176,57,Mazuelo,6468
177,132,Bourboulenc,6518
186,21,Zinfandel,57981
208,1539,Terret,945
249,20,Viognier,71094
265,231,Greco,2905
274,80,Gamay,46969
329,92,Primitivo,27643
333,31,Barbera,42057
340,260,Malvasia Nera,3136
400,271,Corvina Veronese,3042
406,45,Rondinella,16426
438,64,Canaiolo Nero,4300
469,102,Falanghina,5228
553,385,Mencia,7091
566,11,Muscat Blanc,25261
619,49,Albariño,12167
675,282,Nerello Mascalese,4039
731,108,Nero d'Avola,16388
745,175,Ugni blanc,6793
756,1156,Listan Negro,1295
767,50,Aligoté,7798
822,190,Frappato,1256
864,106,Grillo,5464
913,386,Nerello Cappuccio,1361
916,34,Pinot Grigio,40683
944,215,Zibibbo,1834
971,100,Negroamaro,12239
1119,1670,Melon de Bourgogne,3732
1153,24,Marsanne,20322
1209,6,Chenin Blanc,47138
1218,103,Fiano,6062
1241,23,Roussanne,30049
1278,93,Torrontés,13018
1283,550,Bovale,447
1312,76,Clairette,12825
1314,119,Vermentino,23933
1557,151,Mataro,3188
1558,270,Corvina Grossa,167
1583,13,Pinot Gris,57646
1605,104,Garganega,7392
1684,88,Monastrell,14872
1756,54,Grechetto,3186
1816,25,Petite Sirah,26990
1862,199,Pinot Nero,12856
1866,1353,Piquepoul Blanc,462
1902,174,Trousseau,2283
1949,18,Sémillon,53095
1987,225,Coda di Volpe Biancha,740
