,id,name,url,payments
0,23215,Chez le Caviste,http://www.chezlecaviste.com/fr/conditions-generales-utilisation.php,['legacy_payments']
1,6688,Millesima - France,https://www.millesima.fr/cgv.html#mentions,"['card_payments', 'platform_payments']"
2,2682,Provino,,[]
3,22706,Espagne Gourmet,,[]
4,1316,Lavinia.es,,[]
5,3440,Majestic Wine Calais,,[]
6,17595,Aporvino,,[]
7,28930,Vinitus,,[]
8,1216,Gourmet Hunters,,[]
9,17067,WorldShop Lufthansa,,[]
10,737,Cutanda,,[]
11,24476,Bullmet,,[]
12,3240,Ardoa On-Line,,[]
13,6200,Voyageurs du Vin,,[]
14,416,Les Passionnes du Vin,,[]
15,2004,World Wines Webstore,,[]
16,19432,Ovinia,https://www.ovinia.fr/contact,"['card_payments', 'platform_payments']"
17,1112,FinestWine,,[]
18,523,Silkes Weinkeller GmbH,,[]
19,1171,Belgium Wine Watchers,,[]
20,25292,Finewineshop,,[]
21,3188,La Cave de L'ill,https://www.lacavedelill.fr/cgv.html,"['card_payments', 'platform_payments']"
22,23010,Vins et Saisons,,[]
23,7755,House of Wine,,[]
24,3813,La Route des Vins,https://www.laroutedesvins.com/content/4-conditions-generales-de-vente,"['card_payments', 'platform_payments']"
25,3687,Lilovino,https://www.lilleauxvins.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
26,1936,Vinsetchampagnes.fr,,[]
27,2432,Odyssee-Vins,,[]
28,627,Auchan.fr,,[]
29,3228,Mes Vins Cacher,,[]
30,4647,Wyyne.com,,[]
31,22853,Le Verre Canaille,https://www.leverrecanaille.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
32,633,CHATEAUNET,,['legacy_payments']
33,5532,12Bouteilles.com,https://www.12bouteilles.com/fr/content/3-conditions-generales-de-ventes,"['card_payments', 'legacy_payments', 'platform_payments']"
34,16999,Produits Italiens,,[]
35,753,ViniTop.it,,[]
36,18559,8Wines,,[]
37,3865,Enoteca Quadrifoglio,,[]
38,21355,Nettari Etruschi,,[]
39,1463,LUNAS Delikatessen,,[]
40,232,Eton Vintners,,[]
41,20131,Kafer,,[]
42,595,La Vinotheque de Bordeaux,https://vinotheque-bordeaux.com/content/8-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
43,1299,Weinhandelshaus Scholzen,,[]
44,2054,Clos des Millesimes,https://www.closdesmillesimes.com/14--conditions-generales-de-vente.html,"['card_payments', 'platform_payments']"
45,2405,Diogene Atmosphere,,[]
46,25001,Tannico - Switzerland,,[]
47,19112,Vio-Vino.De,,[]
48,3305,Art du Vin,,[]
49,2145,Chai No. 5,,[]
50,2090,Solo Vino Weinhandel,,[]
51,11878,GVF Grands Vins Francais,,[]
52,1301,Enovinho,,[]
53,197,iDealwine.com,,[]
54,3297,Maison Dubecq,,[]
55,460,Hennings Wine Merchants,,[]
56,2204,Vinorema,,[]
57,1821,Cava & Wein,,[]
58,2225,Wein im FachWerk,,[]
59,3201,Weingarten Eden GmbH & Co. KG,,[]
60,22861,Mon Copain Caviste,,[]
61,8705,La Maison des Vins Cassis,,[]
62,28293,Seulement Produits Italiens,,[]
63,2582,Wine Beer Supermarket,,[]
64,2698,MyGoodWines.com,,[]
65,1557,Wineandco,,[]
66,17501,Vinha.co.uk,,[]
67,1561,VinoMi,,[]
68,23009,Wine in Black SAS - fr,,[]
69,2585,Solvino,,[]
70,1757,Enoteca Vanni Giulietta,,[]
71,22321,Caves Bossetti,,[]
72,2821,Vincent Sarl,,[]
73,20205,Lieblings-weine.de,,[]
74,21813,Spies Weine & Spirituosen,,[]
75,2107,VcommeVin,https://boutique.vcommevin.com/conditions-de-vente.php,"['card_payments', 'platform_payments']"
76,2642,Le Chais,http://www.lechais.com/content/3-conditions-generales-de-ventes,"['card_payments', 'platform_payments']"
77,26337,Mon Vin Français,https://www.monvinfrancais.com/conditions-generales-de-vente/,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
78,2217,Venus Vins,,[]
79,22808,Les Vins de Carole,,[]
80,210,"Millesimes, SA",,[]
81,2148,La Cave Trie-Chateau,,[]
82,603,Vins & Millesimes,,[]
83,1601,CB Weinhandel Inhaber Christian Balog,,[]
84,718,Friedrich Kroté,,[]
85,2434,Enoteca Italiana Pasta e Basta,https://enotecaitaliana.fr/cgv/,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
86,21797,PasVino,,[]
87,22924,Truffefrance,,[]
88,3803,Club Francais du Vin,https://www.clubfrancaisduvin.com/fr/conditions-generales-de-vente-france ,['legacy_payments']
89,23443,Christiaens Wijnhuis,,[]
90,6806,Enoteca Ronchi,,[]
91,6341,WineNZ.com,,[]
92,2417,Vinothek Peutler & Aumuller,,[]
93,2136,Rouseu Wijnen & Likeuren bvba,,[]
94,1866,Vintage and Co.,https://www.vintageandco.com/garanties-et-conditions,"['card_payments', 'platform_payments']"
95,2583,Cavagogo,"https://www.cavagogo.com/conditions-de-ventes,fr,8,4.cfm","['card_payments', 'platform_payments']"
96,279,Vins Grands Crus,,[]
97,3649,Herve-Duboscq.fr,,[]
98,2477,R La Cave,,[]
99,23357,Julien de Savignac,,[]
100,22897,Restaurant La Truffiere,,[]
101,28020,Hachette Des Vins,,[]
102,719,Dulst,,[]
103,546,Buhrmann Weine,,[]
104,23761,L'Enoteca dei Ferrari,,[]
105,21847,Vinotino Delikatessen,,[]
106,22831,Le Wine Club,http://www.lewineclub.com/conditions_generales_vente.asp,"['card_payments', 'cartes_bancaires_payments', 'platform_payments']"
107,2565,Cave Bruant,,[]
108,2240,Vin-Malin,,[]
109,2675,Les Caves du Roy,,[]
110,423,Vinsmoinschers.com,,[]
111,2639,Vins Etonnants,,[]
112,22726,La Cave de mareil,,[]
113,16831,Dionysoc.com,,[]
114,16710,Cantina 31 Marzo,,[]
115,30193,Optimus Wine,,[]
