,region_id,name_en,country
0,492.0,Rioja,España
1,454.0,Mendoza,Argentina
2,25.0,Napa Valley,United States
3,429.0,Côtes-du-Rhône,France
4,383.0,Bordeaux,France
5,394.0,Toscana,Italia
8,405.0,Ribera del Duero,España
9,433.0,Douro,Portugal
11,732.0,Marlborough,New Zealand
13,3237.0,Amarone della Valpolicella Classico,Italia
14,2999.0,Bolgheri Sassicaia,Italia
15,1798.0,Chianti Classico,Italia
18,7.0,South Australia,Australia
21,1783.0,Catalunya,España
27,673.0,Bolgheri,Italia
30,631.0,Penedès,España
31,1729.0,Rueda,España
36,1796.0,Brunello di Montalcino,Italia
40,2734.0,Montepulciano d'Abruzzo,Italia
41,401.0,Châteauneuf-du-Pape,France
54,3068.0,Puente Alto,Chile
57,812.0,Casablanca Valley,Chile
61,393.0,Pauillac,France
63,737.0,Colchagua Valley,Chile
65,3345.0,Bolgheri Superiore,Italia
66,404.0,Castilla y León,España
69,833.0,Languedoc,France
71,722.0,Barbaresco,Italia
72,463.0,Priorat,España
81,399.0,Saint-Julien,France
89,2448.0,Côtes du Roussillon Villages,France
94,397.0,Barossa Valley,Australia
95,1801.0,Vino Nobile di Montepulciano,Italia
96,384.0,Margaux,France
99,387.0,Alsace,France
117,1843.0,Taurasi,Italia
118,613.0,Langhe,Italia
120,721.0,Maipo Valley,Chile
123,857.0,Santa Barbara County,United States
125,504.0,Barolo,Italia
128,427.0,Haut-Médoc,France
132,2683.0,Rosso di Montalcino,Italia
133,456.0,Saint-Estèphe,France
139,100.0,Alexander Valley,United States
143,3078.0,Côtes de Gascogne,France
145,726.0,Dundee Hills,United States
158,3338.0,Valpolicella Ripasso Classico,Italia
160,1659.0,Leyda Valley,Chile
162,471.0,Pessac-Léognan,France
165,3244.0,Moulis-en-Médoc,France
167,430.0,Toro,España
176,913.0,Rioja Alta,España
178,769.0,Bekaa Valley,لبنان
186,65.0,Lodi,United States
194,1804.0,Amarone della Valpolicella,Italia
195,607.0,Crozes-Hermitage,France
206,716.0,Maule Valley,Chile
249,693.0,Côte-Rôtie,France
250,426.0,McLaren Vale,Australia
253,2894.0,Isola dei Nuraghi,Italia
260,3072.0,Verona,Italia
265,1844.0,Greco di Tufo,Italia
274,748.0,Morgon,France
281,736.0,Rapel Valley,Chile
308,827.0,Saint-Émilion Grand Cru,France
329,640.0,Salento,Italia
333,1829.0,Barbera d'Asti,Italia
341,428.0,Chablis,France
362,1573.0,Aconcagua Valley,Chile
368,1596.0,Agrelo,Argentina
374,385.0,Bourgogne,France
378,2916.0,Maremma Toscana,Italia
